Order_ID,Date,Customer_ID,Category,Product,Price,Quantity,Discount,Profit
61,2023-03-02,4890,Furniture,Sofa,161.45,9,0.01,456.2
62,2023-03-03,1646,Furniture,Jacket,692.17,1,0.29,201.14
63,2023-03-04,3068,Clothing,Headphones,515.87,8,0.48,347.2
64,2023-03-05,3888,Groceries,Jacket,652.35,6,0.12,-5.72
65,2023-03-06,3214,Electronics,Apples,890.24,1,0.13,303.91
66,2023-03-07,2297,Clothing,Jacket,443.23,4,0.0,456.84
67,2023-03-08,3435,Clothing,Apples,901.67,5,0.03,114.98
68,2023-03-09,1600,Groceries,Laptop,751.92,7,0.02,268.53
69,2023-03-10,3363,Furniture,Headphones,491.16,8,0.41,467.12
70,2023-03-11,3061,Groceries,Chair,605.21,9,0.42,345.63
71,2023-03-12,1241,Clothing,Chair,328.95,6,0.36,-15.72
72,2023-03-13,3041,Clothing,Jacket,983.68,9,0.18,158.31
73,2023-03-14,3824,Furniture,Laptop,669.01,4,0.41,-2.82
74,2023-03-15,4417,Furniture,Headphones,48.63,8,0.27,423.72
75,2023-03-16,3612,Furniture,Chair,329.99,3,0.15,291.91
76,2023-03-17,3945,Groceries,Bananas,625.2,4,0.22,476.01
77,2023-03-18,2363,Furniture,T-shirt,61.05,4,0.03,-39.13
78,2023-03-19,3139,Clothing,T-shirt,28.76,6,0.47,182.7
79,2023-03-20,2390,Clothing,Chair,452.77,9,0.31,7.4
80,2023-03-21,4003,Electronics,Headphones,336.03,6,0.37,142.77
81,2023-03-22,2478,Groceries,Sofa,441.11,1,0.34,39.04
82,2023-03-23,4499,Electronics,Chair,266.38,5,0.33,130.84
83,2023-03-24,3556,Clothing,Sofa,168.89,9,0.01,400.59
84,2023-03-25,1775,Electronics,Sofa,690.7,5,0.26,38.38
85,2023-03-26,1034,Clothing,Apples,517.0,6,0.41,210.52
86,2023-03-27,3253,Electronics,Apples,204.15,3,0.02,456.87
87,2023-03-28,4152,Furniture,Headphones,322.99,8,0.48,
88,2023-03-29,2955,Electronics,Sofa,593.85,4,0.21,87.85
89,2023-03-30,2585,Furniture,Bananas,76.87,4,0.14,464.56
90,2023-03-31,4943,Furniture,Headphones,151.72,5,0.27,93.76
91,2023-04-01,4459,Groceries,Chair,77.88,9,0.4,177.44
92,2023-04-02,4073,Furniture,Jacket,813.26,8,0.24,432.86
93,2023-04-03,2021,Furniture,Bananas,753.65,7,0.32,382.4
94,2023-04-04,4461,Electronics,Laptop,754.55,5,0.25,421.62
95,2023-04-05,3613,Clothing,T-shirt,717.74,9,0.32,390.14
96,2023-04-06,2129,Groceries,Chair,671.04,9,0.07,79.28
97,2023-04-07,4843,Furniture,Chair,479.61,2,0.02,257.34
98,2023-04-08,4893,Groceries,Chair,644.07,4,0.07,161.89
99,2023-04-09,2500,Electronics,Bananas,43.17,8,0.14,202.84
100,2023-04-10,1702,Furniture,Laptop,623.36,1,0.13,34.68
101,2023-04-11,3449,Electronics,Jacket,778.99,5,0.31,123.67
102,2023-04-12,3777,Groceries,Headphones,502.86,8,0.23,421.71
103,2023-04-13,2579,Electronics,Apples,360.73,2,0.02,443.66
104,2023-04-14,1161,Groceries,Laptop,281.04,2,0.02,285.58
105,2023-04-15,1201,Electronics,Bananas,644.59,8,0.05,224.05
106,2023-04-16,2981,Groceries,Chair,694.34,9,0.18,342.06
107,2023-04-17,1995,Clothing,T-shirt,871.61,7,0.0,284.87
108,2023-04-18,3317,Electronics,Chair,345.62,8,0.25,491.02
109,2023-04-19,4934,Electronics,Headphones,770.92,5,0.18,54.55
110,2023-04-20,1815,Clothing,Sofa,563.55,1,0.28,196.97
111,2023-04-21,4342,Clothing,T-shirt,883.42,4,0.36,455.03
112,2023-04-22,1455,Electronics,Chair,530.17,2,0.13,453.11
113,2023-04-23,4533,Clothing,Jacket,520.04,3,0.08,222.44
114,2023-04-24,4798,Furniture,T-shirt,579.99,3,0.14,24.14
115,2023-04-25,2275,Groceries,Sofa,750.57,9,0.0,398.23
116,2023-04-26,2016,Groceries,Apples,964.87,4,0.06,271.84
117,2023-04-27,4773,Groceries,Laptop,78.2,2,0.38,375.24
118,2023-04-28,3343,Furniture,Bananas,58.17,3,0.11,204.39
119,2023-04-29,4796,Clothing,Apples,937.86,3,0.5,62.14
120,2023-04-30,3767,Clothing,Chair,,7,0.08,-36.81
121,2023-05-01,4820,Electronics,Headphones,616.83,8,0.39,257.53
122,2023-05-02,1337,Clothing,Laptop,485.01,6,0.35,38.58
123,2023-05-03,1878,Electronics,Apples,98.19,4,0.16,52.93
124,2023-05-04,2076,Furniture,Chair,769.25,6,0.17,189.97
125,2023-05-05,1791,Groceries,Laptop,748.49,1,0.28,
126,2023-05-06,4993,Groceries,Apples,315.14,8,0.43,100.91
127,2023-05-07,3264,Groceries,Headphones,309.71,1,0.19,22.56
128,2023-05-08,1763,Clothing,Chair,838.65,5,0.03,469.72
129,2023-05-09,3235,Electronics,Sofa,77.0,2,0.19,22.4
130,2023-05-10,1379,Electronics,Sofa,881.7,6,0.1,142.92
131,2023-05-11,1492,Furniture,Headphones,260.38,9,0.47,117.68
132,2023-05-12,4112,Clothing,T-shirt,595.02,5,0.35,426.49
133,2023-05-13,2180,Furniture,Headphones,936.31,4,0.03,175.53
134,2023-05-14,3062,Electronics,T-shirt,679.73,2,0.15,18.22
135,2023-05-15,4884,Electronics,Chair,417.36,3,0.03,
136,2023-05-16,1064,Groceries,Apples,691.09,6,0.42,347.07
137,2023-05-17,4928,Clothing,T-shirt,347.26,8,0.45,342.98
138,2023-05-18,4910,Electronics,Chair,280.87,8,0.06,179.78
139,2023-05-19,3568,Groceries,Chair,996.7,5,0.22,19.47
140,2023-05-20,2367,Clothing,Jacket,752.04,5,0.47,154.4
141,2023-05-21,2152,Furniture,Bananas,646.5,3,0.07,274.44
142,2023-05-22,3027,Clothing,Chair,358.51,7,0.15,337.17
143,2023-05-23,3695,Clothing,T-shirt,53.92,6,0.15,-6.97
144,2023-05-24,2495,Electronics,Bananas,35.9,1,0.02,
145,2023-05-25,4134,Electronics,Bananas,556.41,4,0.02,101.87
146,2023-05-26,2162,Clothing,Chair,763.22,6,0.48,289.5
147,2023-05-27,2522,Electronics,Headphones,539.69,6,0.29,306.48
148,2023-05-28,3640,Electronics,Headphones,841.58,3,0.15,450.83
149,2023-05-29,1391,Electronics,Sofa,38.26,6,0.19,175.71
150,2023-05-30,2698,Groceries,Bananas,369.92,6,0.36,245.67
151,2023-05-31,1418,Groceries,Chair,,9,0.18,97.52
152,2023-06-01,3336,Clothing,Jacket,450.04,9,0.11,107.61
153,2023-06-02,1378,Electronics,Headphones,77.01,2,0.05,-24.68
154,2023-06-03,2796,Groceries,Jacket,954.36,4,0.36,107.34
155,2023-06-04,4561,Clothing,Chair,227.14,9,0.09,-14.89
156,2023-06-05,3278,Electronics,Chair,922.7,4,0.03,480.15
157,2023-06-06,4065,Furniture,Apples,428.76,8,0.21,293.34
158,2023-06-07,3088,Electronics,Bananas,985.6,3,0.02,45.23
159,2023-06-08,4099,Electronics,Apples,556.29,3,0.48,14.22
160,2023-06-09,3182,Groceries,Jacket,931.18,9,0.31,
161,2023-06-10,1200,Clothing,Apples,10.32,8,0.08,119.21
162,2023-06-11,2863,Clothing,Sofa,749.5,1,0.09,103.59
163,2023-06-12,1779,Groceries,Bananas,903.54,2,0.28,
164,2023-06-13,3977,Electronics,Laptop,144.02,3,0.18,452.08
165,2023-06-14,4104,Furniture,Apples,100.65,2,0.39,262.43
166,2023-06-15,4119,Electronics,Jacket,427.45,3,0.27,236.68
167,2023-06-16,1502,Electronics,Headphones,934.01,8,0.22,393.6
168,2023-06-17,3454,Furniture,Headphones,544.67,6,0.48,-47.79
169,2023-06-18,4645,Groceries,Headphones,529.82,7,0.2,58.56
170,2023-06-19,2751,Clothing,T-shirt,145.42,6,0.2,222.9
171,2023-06-20,1804,Groceries,Chair,5.79,1,0.33,337.92
172,2023-06-21,3146,Groceries,Bananas,811.09,3,0.4,216.77
173,2023-06-22,3731,Electronics,Headphones,92.14,1,0.31,40.04
174,2023-06-23,2895,Clothing,Laptop,635.68,9,0.35,461.49
175,2023-06-24,3773,Clothing,Headphones,915.04,9,0.19,130.77
176,2023-06-25,2570,Groceries,Sofa,212.61,5,0.24,383.52
177,2023-06-26,1960,Furniture,Chair,666.95,4,0.1,440.28
178,2023-06-27,4810,Groceries,Jacket,83.31,9,0.34,140.55
179,2023-06-28,3660,Furniture,Chair,605.74,9,0.11,414.92
180,2023-06-29,2485,Clothing,Apples,168.11,3,0.0,340.93
181,2023-06-30,3690,Groceries,Jacket,737.27,5,0.47,447.35
182,2023-07-01,4840,Electronics,Jacket,304.73,3,0.15,88.22
183,2023-07-02,2028,Groceries,Apples,466.07,2,0.1,462.2
184,2023-07-03,4289,Clothing,Bananas,601.43,1,0.13,-14.08
185,2023-07-04,1502,Electronics,Apples,,2,0.17,386.52
186,2023-07-05,3814,Electronics,T-shirt,742.93,8,0.24,189.62
187,2023-07-06,1397,Furniture,Jacket,306.13,8,0.03,47.84
188,2023-07-07,1870,Electronics,Jacket,664.06,3,0.03,-6.33
189,2023-07-08,3842,Electronics,Apples,162.49,7,0.15,164.25
190,2023-07-09,1392,Groceries,Bananas,689.68,7,0.15,164.13
191,2023-07-10,1206,Clothing,Headphones,132.55,2,0.06,76.48
192,2023-07-11,2038,Furniture,Sofa,,9,0.2,68.53
193,2023-07-12,2881,Groceries,Laptop,250.97,3,0.14,169.73
194,2023-07-13,4625,Electronics,Bananas,749.63,2,0.01,175.56
195,2023-07-14,3939,Electronics,T-shirt,265.72,3,0.44,193.3
196,2023-07-15,2484,Furniture,Bananas,882.31,2,0.44,427.82
197,2023-07-16,4762,Clothing,Chair,892.36,8,0.1,286.19
198,2023-07-17,4646,Furniture,Headphones,200.46,5,0.08,-38.76
199,2023-07-18,1863,Groceries,Headphones,615.78,3,0.27,235.5
200,2023-07-19,3790,Furniture,Jacket,92.28,5,0.32,369.35
201,2023-07-20,4312,Electronics,Headphones,394.58,8,0.48,-18.97
202,2023-07-21,1563,Groceries,Headphones,714.76,7,0.19,182.43
203,2023-07-22,2020,Electronics,Apples,661.13,6,0.31,198.17
204,2023-07-23,1095,Clothing,Headphones,626.58,1,0.44,474.71
205,2023-07-24,2923,Electronics,Headphones,286.13,1,0.22,211.63
206,2023-07-25,2757,Electronics,Laptop,381.13,1,0.06,362.45
207,2023-07-26,3532,Furniture,T-shirt,107.43,8,0.19,116.6
208,2023-07-27,4478,Electronics,Jacket,720.43,8,0.07,378.62
209,2023-07-28,3278,Groceries,Apples,506.37,7,0.01,
210,2023-07-29,3796,Groceries,Headphones,710.22,6,0.38,186.51
211,2023-07-30,2678,Clothing,Jacket,252.7,4,0.12,213.72
212,2023-07-31,4242,Groceries,T-shirt,327.82,1,0.0,459.5
213,2023-08-01,1540,Furniture,Apples,,9,0.44,-20.6
214,2023-08-02,2059,Clothing,Sofa,30.61,1,0.22,58.28
215,2023-08-03,3572,Groceries,Headphones,344.34,4,0.12,338.16
216,2023-08-04,2183,Furniture,Jacket,804.29,3,0.13,267.67
217,2023-08-05,4910,Groceries,Bananas,,7,0.12,88.34
218,2023-08-06,2722,Groceries,Apples,520.63,5,0.1,109.06
219,2023-08-07,4314,Electronics,Apples,458.22,5,0.42,152.02
220,2023-08-08,4157,Groceries,Jacket,35.67,4,0.09,197.69
221,2023-08-09,2819,Groceries,Headphones,879.81,1,0.28,399.92
222,2023-08-10,3625,Furniture,Chair,17.95,5,0.04,-42.4
223,2023-08-11,3729,Furniture,Laptop,945.03,4,0.47,443.91
224,2023-08-12,3604,Electronics,Bananas,491.77,8,0.3,
225,2023-08-13,2597,Groceries,Bananas,345.22,2,0.45,76.77
226,2023-08-14,4060,Electronics,Chair,924.6,8,0.2,229.63
227,2023-08-15,3693,Groceries,Headphones,29.27,1,0.41,312.82
228,2023-08-16,1795,Clothing,Apples,583.52,4,0.43,-25.39
229,2023-08-17,2051,Clothing,Apples,551.19,3,0.35,
230,2023-08-18,2643,Electronics,Laptop,223.22,5,0.05,368.42
231,2023-08-19,4627,Electronics,Bananas,431.74,5,0.01,41.4
232,2023-08-20,2363,Electronics,Laptop,654.0,5,0.08,42.33
233,2023-08-21,4869,Furniture,Bananas,728.5,4,0.06,62.08
234,2023-08-22,2981,Furniture,Headphones,5.71,8,0.36,388.15
235,2023-08-23,2354,Furniture,Sofa,937.17,3,0.28,99.6
236,2023-08-24,2663,Electronics,Bananas,168.7,4,0.26,387.76
237,2023-08-25,2529,Groceries,Sofa,237.41,1,0.13,247.29
238,2023-08-26,3038,Clothing,Bananas,267.16,7,0.08,371.94
239,2023-08-27,4419,Electronics,Apples,42.63,1,0.1,254.52
240,2023-08-28,2496,Furniture,T-shirt,127.44,2,0.2,134.67
241,2023-08-29,4302,Furniture,Headphones,986.42,7,0.37,450.89
242,2023-08-30,3237,Electronics,Chair,318.64,1,0.13,343.41
243,2023-08-31,4296,Electronics,Sofa,119.72,3,0.35,216.23
244,2023-09-01,2408,Furniture,Chair,111.46,6,0.25,300.59
245,2023-09-02,2400,Groceries,Headphones,720.86,6,0.44,288.71
246,2023-09-03,2306,Furniture,Jacket,855.3,6,0.12,146.96
247,2023-09-04,3680,Furniture,Chair,260.67,2,0.23,183.07
248,2023-09-05,3675,Electronics,Headphones,25.8,2,0.05,125.04
249,2023-09-06,1972,Groceries,Apples,226.97,6,0.17,499.73
250,2023-09-07,2768,Furniture,Chair,61.23,5,0.25,269.04
251,2023-09-08,2282,Furniture,Sofa,107.88,7,0.37,0.63
252,2023-09-09,4430,Clothing,T-shirt,434.35,7,0.1,235.51
253,2023-09-10,1709,Electronics,Chair,233.77,5,0.11,-22.52
254,2023-09-11,2479,Clothing,Sofa,518.37,8,0.32,108.76
255,2023-09-12,2434,Clothing,Bananas,257.23,6,0.19,195.28
256,2023-09-13,1648,Furniture,Headphones,940.83,5,0.24,243.85
257,2023-09-14,1317,Electronics,Laptop,906.41,4,0.42,486.9
258,2023-09-15,4748,Groceries,Jacket,568.97,7,0.25,490.22
259,2023-09-16,4296,Furniture,Apples,357.65,4,0.33,3.94
260,2023-09-17,4890,Groceries,Laptop,384.24,5,0.33,245.97
261,2023-09-18,2257,Groceries,Apples,414.79,5,0.4,399.41
262,2023-09-19,1683,Electronics,Headphones,728.94,1,0.32,80.74
263,2023-09-20,1663,Clothing,Apples,454.38,1,0.03,362.81
264,2023-09-21,2998,Electronics,T-shirt,857.45,3,0.17,433.24
265,2023-09-22,4898,Groceries,Chair,944.37,3,0.49,314.37
266,2023-09-23,4445,Furniture,T-shirt,339.27,2,0.1,130.24
267,2023-09-24,4743,Groceries,Laptop,562.89,2,0.29,457.72
268,2023-09-25,2631,Furniture,Jacket,99.58,6,0.42,435.94
269,2023-09-26,2495,Furniture,Sofa,204.47,1,0.29,343.7
270,2023-09-27,4304,Electronics,Jacket,416.4,6,0.19,150.02
271,2023-09-28,4763,Groceries,Headphones,210.17,5,0.04,385.54
272,2023-09-29,2136,Clothing,Headphones,877.18,6,0.18,123.86
273,2023-09-30,2853,Groceries,T-shirt,162.49,5,0.09,
274,2023-10-01,2520,Groceries,Sofa,458.38,7,0.48,233.26
275,2023-10-02,3489,Clothing,T-shirt,607.67,1,0.36,498.42
276,2023-10-03,1563,Electronics,Chair,693.4,3,0.37,392.38
277,2023-10-04,2291,Groceries,Bananas,386.15,6,0.22,351.39
278,2023-10-05,4581,Groceries,Sofa,869.75,1,0.05,198.61
279,2023-10-06,4878,Furniture,Bananas,570.48,7,0.13,121.57
280,2023-10-07,4457,Groceries,Jacket,442.31,4,0.13,420.75
281,2023-10-08,4458,Clothing,Chair,71.9,3,0.24,262.25
282,2023-10-09,4184,Furniture,Apples,467.37,9,0.23,397.29
283,2023-10-10,2636,Electronics,Apples,821.63,1,0.22,218.26
284,2023-10-11,4696,Furniture,Bananas,616.47,8,0.25,364.68
285,2023-10-12,3999,Clothing,Laptop,833.0,1,0.49,427.26
286,2023-10-13,4152,Clothing,Jacket,496.54,5,0.15,165.26
287,2023-10-14,1698,Furniture,Bananas,122.87,8,0.31,-42.54
288,2023-10-15,3160,Electronics,Chair,18.57,6,0.12,90.21
289,2023-10-16,1001,Furniture,Bananas,306.7,7,0.23,453.2
290,2023-10-17,1641,Electronics,Headphones,699.5,8,0.1,328.15
291,2023-10-18,3267,Furniture,T-shirt,791.31,6,0.28,355.47
292,2023-10-19,2589,Clothing,Laptop,299.27,6,0.13,128.91
293,2023-10-20,1854,Groceries,Headphones,498.18,6,0.02,335.7
294,2023-10-21,2759,Groceries,Headphones,424.01,5,0.41,305.46
295,2023-10-22,4296,Electronics,Chair,413.47,8,0.06,48.11
296,2023-10-23,3432,Electronics,T-shirt,235.19,2,0.18,482.78
297,2023-10-24,4474,Electronics,T-shirt,140.69,7,0.24,144.71
298,2023-10-25,2661,Clothing,Sofa,200.71,4,0.22,131.11
299,2023-10-26,2153,Furniture,Jacket,60.06,1,0.36,153.04
300,2023-10-27,2076,Clothing,Laptop,202.14,5,0.3,0.45
301,2023-10-28,2707,Groceries,Jacket,14.15,3,0.15,293.73
302,2023-10-29,3777,Electronics,Chair,629.12,4,0.03,81.24
303,2023-10-30,2695,Furniture,Laptop,319.79,7,0.38,391.82
304,2023-10-31,2733,Groceries,Sofa,973.28,5,0.18,166.79
305,2023-11-01,2439,Groceries,Bananas,197.75,4,0.44,202.21
306,2023-11-02,3294,Groceries,Headphones,349.1,1,0.2,305.53
307,2023-11-03,1835,Clothing,Laptop,361.05,6,0.36,369.03
308,2023-11-04,4510,Electronics,Jacket,13.41,6,0.47,77.11
309,2023-11-05,1202,Groceries,Headphones,840.01,7,0.33,481.46
310,2023-11-06,4255,Electronics,Chair,36.83,1,0.21,
311,2023-11-07,1122,Clothing,Jacket,940.48,4,0.28,-46.9
312,2023-11-08,1400,Groceries,Bananas,892.61,9,0.27,178.59
313,2023-11-09,1766,Clothing,Chair,537.84,6,0.29,190.25
314,2023-11-10,1293,Clothing,Apples,545.88,2,0.07,395.04
315,2023-11-11,3327,Electronics,Bananas,655.51,4,0.35,
316,2023-11-12,4908,Groceries,Bananas,390.11,6,0.07,132.17
317,2023-11-13,3931,Clothing,Headphones,648.99,4,0.01,-11.23
318,2023-11-14,4681,Groceries,Chair,49.54,7,0.31,105.95
319,2023-11-15,1197,Electronics,Chair,58.78,3,0.06,344.33
320,2023-11-16,4029,Clothing,Laptop,459.94,6,0.39,299.12
321,2023-11-17,2930,Electronics,Jacket,551.87,4,0.43,-5.23
322,2023-11-18,4582,Groceries,Apples,888.38,3,0.47,13.08
323,2023-11-19,3799,Groceries,Chair,,3,0.33,157.31
324,2023-11-20,3191,Electronics,Laptop,823.53,2,0.24,359.07
325,2023-11-21,1608,Furniture,Apples,214.0,3,0.18,408.11
326,2023-11-22,4272,Clothing,T-shirt,397.11,1,0.25,-41.96
327,2023-11-23,2147,Groceries,T-shirt,320.02,3,0.1,130.96
328,2023-11-24,1186,Groceries,Apples,403.15,9,0.17,183.34
329,2023-11-25,4397,Clothing,T-shirt,154.74,4,0.36,451.12
330,2023-11-26,3511,Electronics,Sofa,506.05,3,0.11,225.77
331,2023-11-27,4420,Electronics,Chair,802.63,8,0.13,98.34
332,2023-11-28,2794,Electronics,Sofa,444.33,1,0.37,164.53
333,2023-11-29,1659,Furniture,Jacket,493.16,5,0.09,190.04
334,2023-11-30,3811,Furniture,Chair,,1,0.12,318.5
335,2023-12-01,4002,Groceries,Laptop,707.53,7,0.01,-27.4
336,2023-12-02,2955,Electronics,Sofa,493.0,5,0.36,164.2
337,2023-12-03,3450,Clothing,Sofa,261.41,2,0.31,305.61
338,2023-12-04,2369,Groceries,Jacket,885.5,1,0.35,105.83
339,2023-12-05,2986,Clothing,Sofa,579.14,7,0.11,275.46
340,2023-12-06,2534,Groceries,Bananas,225.04,1,0.34,146.5
341,2023-12-07,1146,Furniture,Laptop,272.77,3,0.3,367.3
342,2023-12-08,4219,Groceries,T-shirt,804.12,6,0.18,-16.67
343,2023-12-09,3911,Furniture,Laptop,48.92,6,0.22,454.88
344,2023-12-10,2734,Groceries,Bananas,,7,0.28,44.39
345,2023-12-11,2843,Electronics,Jacket,134.7,1,0.25,37.2
346,2023-12-12,1488,Clothing,Jacket,797.09,7,0.32,
347,2023-12-13,3976,Electronics,Chair,397.8,2,0.09,428.11
348,2023-12-14,2959,Groceries,Laptop,494.76,6,0.27,1.14
349,2023-12-15,2663,Groceries,Apples,881.25,8,0.23,449.8
350,2023-12-16,3598,Groceries,Apples,415.85,5,0.23,100.31
351,2023-12-17,3385,Furniture,Jacket,539.81,3,0.23,290.24
352,2023-12-18,3919,Clothing,Sofa,54.05,8,0.44,-12.27
353,2023-12-19,1640,Clothing,Jacket,7.34,8,0.41,159.36
354,2023-12-20,2802,Groceries,Jacket,248.58,4,0.31,197.9
355,2023-12-21,3520,Groceries,Jacket,682.18,8,0.36,279.9
356,2023-12-22,2969,Furniture,Jacket,125.66,5,0.02,238.9
357,2023-12-23,3198,Electronics,Apples,118.19,5,0.37,203.82
358,2023-12-24,2438,Electronics,Apples,413.91,3,0.24,477.8
359,2023-12-25,4369,Clothing,T-shirt,649.6,7,0.16,51.76
360,2023-12-26,2634,Furniture,T-shirt,713.51,9,0.07,36.9
361,2023-12-27,1262,Groceries,Chair,182.56,9,0.04,342.38
362,2023-12-28,2787,Clothing,Jacket,84.19,1,0.02,-9.0
363,2023-12-29,3191,Furniture,Apples,940.7,1,0.08,215.59
364,2023-12-30,3393,Electronics,Laptop,264.36,5,0.02,216.23
365,2023-12-31,1623,Furniture,Bananas,854.08,1,0.37,120.51
366,2024-01-01,2016,Electronics,Chair,864.17,4,0.12,461.74
367,2024-01-02,4643,Furniture,Apples,773.66,1,0.18,105.4
368,2024-01-03,1880,Clothing,Laptop,172.99,2,0.41,108.64
369,2024-01-04,3049,Electronics,Jacket,822.69,2,0.06,78.86
370,2024-01-05,3944,Clothing,Headphones,770.4,4,0.42,30.18
371,2024-01-06,2327,Clothing,Jacket,598.74,8,0.32,150.21
372,2024-01-07,3301,Electronics,T-shirt,340.52,2,0.17,324.49
373,2024-01-08,4723,Electronics,Bananas,266.2,9,0.06,358.19
374,2024-01-09,1452,Groceries,Apples,126.28,9,0.05,397.38
375,2024-01-10,4108,Groceries,Apples,512.21,2,0.17,58.65
376,2024-01-11,2183,Groceries,Sofa,587.33,1,0.07,-30.4
377,2024-01-12,4062,Clothing,Bananas,362.54,9,0.13,486.08
378,2024-01-13,3056,Clothing,Sofa,477.98,2,0.03,-42.12
379,2024-01-14,4304,Groceries,Bananas,366.7,8,0.3,478.37
380,2024-01-15,4170,Clothing,T-shirt,642.8,3,0.07,405.85
381,2024-01-16,2682,Clothing,Sofa,901.75,1,0.38,451.64
382,2024-01-17,3863,Electronics,Laptop,,1,0.11,162.95
383,2024-01-18,3255,Electronics,Sofa,384.5,2,0.4,58.46
384,2024-01-19,2154,Clothing,Chair,145.16,7,0.09,283.56
385,2024-01-20,1403,Groceries,Laptop,626.82,6,0.36,357.69
386,2024-01-21,3199,Furniture,Chair,730.23,2,0.17,21.97
387,2024-01-22,3101,Groceries,Jacket,932.25,4,0.29,388.69
388,2024-01-23,4191,Furniture,Bananas,282.48,2,0.02,64.73
389,2024-01-24,2696,Groceries,Laptop,,1,0.25,220.42
390,2024-01-25,4991,Electronics,Bananas,67.95,3,0.07,421.07
